Comic_Title,Publisher,Issue_Num,Published_Date
100th Anniversary Special: Spider-Man (2014),Marvel Comics,1A,"September, 2014"
A + X (2012-2014),Marvel Comics,1A,"December, 2012"
A + X (2012-2014),Marvel Comics,1D,"December, 2012"
A + X (2012-2014),Marvel Comics,2A,"January, 2013"
A + X (2012-2014),Marvel Comics,4A,"March, 2013"
"Action Comics (1938-2011, 2016-Present)",DC Comics,595B,"December, 1987"
"Action Comics (1938-2011, 2016-Present)",DC Comics,445,"March, 1975"
Action Comics (2011-2016),DC Comics,1B,"November, 2011"
Action Comics (2011-2016),DC Comics,23.2A,"November, 2013"
Action Comics (2011-2016),DC Comics,23.3A,"November, 2013"
Adventure Comics (1938-1983),DC Comics,283,"April, 1961"
Adventures of Superman (1987-2006),DC Comics,463A,"February, 1990"
Age of Ultron (2013),Marvel Comics,9A,"August, 2013"
Age of Ultron (2013),Marvel Comics,10A,"August, 2013"
Age of Ultron (2013),Marvel Comics,10B,"August, 2013"
Age of Ultron (2013),Marvel Comics,10.1AIA,"August, 2013"
Age of Ultron (2013),Marvel Comics,7A,"July, 2013"
Age of Ultron (2013),Marvel Comics,8A,"July, 2013"
Age of Ultron (2013),Marvel Comics,4A,"June, 2013"
Age of Ultron (2013),Marvel Comics,5A,"June, 2013"
Age of Ultron (2013),Marvel Comics,6A,"June, 2013"
Age of Ultron (2013),Marvel Comics,1A,"May, 2013"
Age of Ultron (2013),Marvel Comics,2A,"May, 2013"
Age of Ultron (2013),Marvel Comics,3A,"May, 2013"
Age of Ultron vs. Marvel Zombies,Marvel Comics,1C,"August, 2015"
Age of Ultron vs. Marvel Zombies,Marvel Comics,4,"November, 2015"
Age of Ultron vs. Marvel Zombies,Marvel Comics,3A,"October, 2015"
Age of Ultron vs. Marvel Zombies,Marvel Comics,2A,"September, 2015"
Alias (2001-2004),Marvel Max,1A,"November, 2001"
Alias (2001-2004),Marvel Max,24,"September, 2003"
All-New All-Different Marvel Point One,Marvel Comics,1B,"December, 2015"
All-New Captain America: Special (2015),Marvel Comics,1B,"July, 2015"
All-New Marvel Now! 2014 Calendar (2013),Marvel Comics,1,"December, 2013"
All-New Marvel Now! Previews (2014-Present),Marvel Comics,2,"February, 2014"
All-New Marvel Now! Previews (2014-Present),Marvel Comics,3B,"March-April, 2014"
All-New X-Men (2013-2015),Marvel Comics,23A,"April, 2014"
All-New X-Men (2013-2015),Marvel Comics,38A,"April, 2015"
All-New X-Men (2013-2015),Marvel Comics,3A,"February, 2013"
All-New X-Men (2013-2015),Marvel Comics,4A,"February, 2013"
All-New X-Men (2013-2015),Marvel Comics,2A,"January, 2013"
All-New X-Men (2013-2015),Marvel Comics,1A,"January, 2013"
All-New X-Men (2013-2015),Marvel Comics,5A,"March, 2013"
All-New X-Men (2013-2015),Marvel Comics,22A,"March, 2014"
All-New X-Men (2013-2015),Marvel Comics,24A,"May, 2014"
All-New X-Men (2013-2015),Marvel Comics,39A,"May, 2015"
All-New X-Men Special (2013),Marvel Comics,1A,"December, 2013"
"All-New, All-Different Avengers (2016-Present)",Marvel Comics,1J,"February, 2016"
"All-New, All-Different Avengers (FCBD 2015)",Marvel Comics,One-ShotA,"June, 2015"
Alpha Flight (1997-1999),Marvel Comics,17,"December, 1998"
Alpha: Big Time (2013),Marvel Comics,1A,"April, 2013"
Alpha: Big Time (2013),Marvel Comics,5,"August, 2013"
Alpha: Big Time (2013),Marvel Comics,4,"July, 2013"
Alpha: Big Time (2013),Marvel Comics,3,"June, 2013"
Alpha: Big Time (2013),Marvel Comics,2,"May, 2013"
Amazing Spider-Man & Silk: The Spider(Fly) Effect,Marvel Comics,1,"May, 2016"
Amazing Spider-Man (1963-1998),Marvel Comics,Annual 12,1978
Amazing Spider-Man (1963-1998),Marvel Comics,Annual 14B,1980
Amazing Spider-Man (1963-1998),Marvel Comics,Annual 23A,1989
Amazing Spider-Man (1963-1998),Marvel Comics,11,"April, 1964"
Amazing Spider-Man (1963-1998),Marvel Comics,35,"April, 1966"
Amazing Spider-Man (1963-1998),Marvel Comics,47,"April, 1967"
